Start Timing,Duration,Text,Emotion
1244960,2036,Who wants to know?,n
1247952,3436,"A group of desperate chickens. lf it's you,",n
1251595,1911,you may be the answer to our prayers.,n
1257360,3834,"Then call me a miracle, dollface, 'cause that's me.",n
1263160,2594,"What brings you to England, Mr. Rhodes?",n
1265967,2355,"All the beautiful English chicks, of course.",n
1269040,1752,Give over!,j
1272080,4198,"l'm a traveler. l did that barnyard thing for a while,",n
1276927,2514,but couldn't get into it. Hi. How are you?,n
1280079,876,Nope!,n
1281127,4073,The open road is more my style. Put a pack on my back,n
1285607,1672,and point me where the wind blows.,n
1287840,2150,Know what they call me back home?,n
1290647,3436,You'll love this. The Lone Free-Ranger.,n
1295407,1479,lsn't that great?,n
1297560,1911,l knew it was possible. - lt's possible!,n
1299847,1319,The answer had to come! - Amen!,n
1301553,4073,"We'll fly over that fence, and Mr. Rhodes will show us how. Right?",j
1306310,3788,"That's ri ... What? Did you say ""fly?""",s
1310433,2434,"You can teach us. - No, l can't.",n
1313087,1433,Listen! You hear that?,n
1316668,2958,"The open road's calling, and l have to answer.",n
1319927,910,Bye.,n
1322047,2070,He must have very good hearing.,n
1325207,2514,"Okay, where's the exit? This way.",n
1328080,3879,Mr. Rhodes? Perhaps l didn't explain our situation properly.,n
1332320,1877,"We lay eggs, day in, day out.",n
1334687,2309,"When we can't lay any more, they kill us.",n
1337967,3197,"lt's a cruel world, dollface. Better get used to it.",n
1341567,2514,"Which part of ""they kill us"" don't you understand?",a
1344320,1638,l got my own set of problems.,n
1346527,2150,"Besides, it can't be that hard to bust out of here.",n
1349087,2036,Watch me.,n
1352353,4391,"lt's not so hard for a chicken or two to get out, but it's about all of us.",n
1359047,4152,All of you? - l've been trying to tell you. - Let's get it straight.,s
1363607,3595,You want to get every chicken out of here at once?,s
1367607,2594,Of course. - You're certifiable.,s
1370607,3356,"You can't pull that off. - Where there's a will, there's a way.",n
1374367,3959,Couldn't agree more. And l will be leaving. That way.,n
1379007,1911,"Mr. Rhodes, please!",n
1402567,2639,So that's it. You're from the circus.,n
1407167,1831,"You're on the run, aren't you?",n
1410198,3595,Keep it down! l'm trying to lay low here.,s
1414527,3231,l should turn you in right now. - You wouldn't.,n
1418167,1718,Would you? - Why not?,f
1420287,2070,Because l'm cute?,n
1426560,2389,"Hey, hey. You crazy chick!",s
1429047,2753,You know what'll happen if he finds me? - lt's a cruel world.,f
1432207,3197,l don't like you. - l don't care.,n
1435807,3549,"Show us how to fly. - With this wing? - Teach us, then.",s
1442470,2116,"He's valuable, you say?",n
1444527,1956,Sure. - Get the torch.,n
1447036,2594,"Listen here, sister. l'm not going back to that life.",n
1449927,2468,"l'm a Lone Free-Ranger. Emphasis on ""free.""",n
1452840,2389,And that's what we want ... freedom.,n
1459327,1638,"Fancy that, they're coming.",n
1461320,1638,"Oh, no! They're onto me!",f
1463407,3515,Teach us to fly. We'll hide you. - And if l don't?,n
1468087,2560,Was your father by any chance a vulture?,a
1471287,2036,Do we have a deal?,n
1491678,4118,"Time to make good on that deal, dollface. - The name is Ginger.",n
1512487,1797,Comfortable? - Not really.,n
1514791,1831,Maybe this will help.,n
1518520,2992,Nice hideout. l had more room in my egg.,n
1522593,3072,We held up our end of it. Tomorrow you hold up yours.,n
1525647,1558,What deal? - Flying.,n
1527607,3276,"Oh, yeah. Don't worry. l'll teach you everything l know.",n
1531287,2833,Which bunk is mine?,n
1537114,3117,Absolutely outrageous!,a
1540367,2434,Asking a senior officer to share his quarters.,a
1543207,2468,"And with a non-commissioned Yank, no less!",a
1546087,1718,"Why, back in my day ...",n
1548207,2389,You weren't exactly my first choice either.,d
1551407,2195,Scoot over. Your wing's on my side of the bunk.,n
1554007,4471,Your side of the bunk? The whole bunk is my side!,a
1559674,2992,What is that smell? ls that your breath?,n
1562967,2719,Absolutely outrageous!,a
1571480,2833,"So you want to fly, huh?",n
1574607,3276,"Well, it ain't going to be easy. And it ain't going to happen overnight.",n
1578287,2514,"Flying takes three things: hard work,",n
1581207,1672,perseverance and,n
1584469,2389,"hard work. - You said ""hard work"" twice!",n
1587247,2958,Because it takes twice as much hard work as perseverance.,n
1592280,1433,Codswallop!,a
1593767,2150,Cocky Yanks think they know it all.,j
1597115,4118,The most important thing is we have to work as a team.,n
1602154,3037,"Which means, you do everything l tell you.",n
1608647,2275,Let's rock 'n roll.,j
1650407,1592,The chickens are ...,n
1653047,1274,... pecking?,s
1655647,2230,"And left, two, three.",n
1658207,1718,"And right, two, three.",n
1660393,1479,And stop right there.,n
1662567,1752,"Yes, down.",n
1664967,2514,Make little circles.,n
1667887,1433,Faster.,n
1673637,1752,"Oh, that's the spot!",n
1685567,2719,l thought you were going to teach us to fly.,n
1688873,2070,That's what l'm doing.,n
1691167,2594,lsn't there usually some flapping involved?,n
1694807,1911,Do l tell you how to lay eggs?,n
1697127,2309,Relax. We're making progress.,n
1699800,3356,Really? l can't help feeling we're going around in circles.,n
1704794,3879,"Hey, cut it out! You're making me dizzy.",j
1708959,1877,They're ready to fly now.,n
1711247,1956,"Good, 'cause they can't walk anymore.",n
1716600,1194,Up and at 'em!,n
1717727,1069,Let's flap.,n
1723967,3788,Let's see if old Attila the Hen has come to her senses.,n
1735447,1718,lt's raining hen!,j
1741480,3834,"What's this caper, luv? - We're flying. - Obviously.",j
1747040,3549,Flipping hell. Look at this. - They're going to kill themselves.,n
1751647,2560,Want to watch? - All right.,n
1765200,2230,Careful of those eggs!,n
1772000,1797,Sunny-side up.,j
1776840,1319,Now over easy.,j
1780647,1638,Definitely scrambled.,j
1789120,1991,Poultry in motion.,j
1804480,2195,Birds of a feather flop together.,n
1812920,1592,"Great work, ladies.",n
1814607,2912,The pain you're feeling is a good thing.,n
1817927,1353,Pain is your friend.,n
1819687,3515,Just keep the faith ... Agnes. You'll get there.,n
1823607,1638,You flew four feet today.,n
1825647,3310,"Yeah, four feet. From the roof to the ground.",j
1829630,4437,All part of the process. Don't worry. You cheesy little ...,j
1836887,1877,That doesn't sound good.,j
1839520,2560,The ground's shaking. Are we worried?,n
1842887,1353,Are we worried?,f
1851920,1797,The circus! Quick! Hide me!,f
1853727,1752,Hide me! - Come on.,f
1855887,1319,One isn't awarded a medal,n
1857200,2753,for flapping about like a lunatic.,n
1861876,2434,Now see here! This is an officer's quarters!,f
1864647,1718,ln here! - Get out of here now!,f
1866847,1718,"Give it a rest, Pops!",n
1869469,2912,What? l shall have you on charges within the week!,a
1909240,989,"Cheers, mate.",n
1917520,2275,lt's all in your head.,n
1929047,1911,What's all this?,n
1931552,1831,"This is our future, Mr. Tweedy.",n
1933607,2434,No more wasting time with petty egg collection,n
1936447,2230,and minuscule profits. - No eggs?,s
1939559,2560,"We've always been egg farmers. My father,",n
1942047,2355,his father and their fathers. They were always ...,n
1944807,3276,Poor! Worthless! Nothings!,d
1948487,1592,But that's about to change.,n
1950487,2958,This will take Tweedy's farm out of the Dark Ages,n
1953760,3515,and into full-scale automated production.,n
1959560,2753,Melisha Tweedy will be poor no longer.,n
1966040,1956,"l'll put it together, shall l?",f
1973967,2912,That isn't good. Whatever's in those boxes is for us.,n
1977287,1797,And l doubt it's softer than hay.,n
1979554,2116,"l hate to be the voice of doom,",c
1982007,4232,but l've been calculating. l don't think we're built for flying.,n
1986647,3151,But l saw him! He flew in over that fence!,n
1990287,1558,"l believe you,",n
1992247,3754,but if we could see it for ourselves it might answer some questions.,n
1996640,3549,You're right. We've been at this all week. We're getting nowhere.,c
2000952,4118,lf his wing were better ... l'll talk to him.,n
2011567,1319,Where is he?,n
2013287,2798,They didn't give me this medal for being a Yank nanny.,n
2017640,2150,"""l don't know"" would suffice.",n
2019767,3072,"Beware of that one, young Ginger.",n
2022880,2309,That Yank is not to be trusted.,n
2026395,3037,That Yank is our ticket out of here.,n
2029767,3834,"And the pig says to the horse, ""Why the long face?""",j
2040038,1228,Cocktail!,j
2041920,830,Give over!,j
2049487,1672,So anyway ...,n
2051967,2594,Remember those flying tips.,n
2055360,2673,They're very important. And think flighty thoughts.,n
2061200,1513,They're swell chicks.,n
2062807,3595,Look what Babs made me. A beak warmer. lsn't that cute?,n
2068047,3834,And that Bunty. She really packs a pun.,j
2072287,1035,A problem?,n
2073727,3231,Have we flown over the fence? - Not quite. - There's a problem.,n
2077367,1672,Good things come to those who wait.,n
2089407,3879,How long did it take you? - To do what? - To learn to fly.,n
2093687,2719,"Apples and oranges. l'm gifted, they're not.",n
2096807,4039,You can't compare the two. These things take time.,n
2101247,3993,Which we're running out of. Why haven't we lifted off yet? - Thrust.,a
2105767,3913,l went over my calculations. What we're missing is thrust.,n
2113200,1433,l didn't get a word of that.,n
2115167,3913,"Thrust. When ducks and geese take off, what do they have?",n
2119447,2070,She ain't using real words.,n
2121600,2514,She said we need more thrust. - Thrust!,n
2124847,3515,Sure. Thrust and flying are like this.,n
2128767,1149,Flying and thrust.,n
2130549,1831,Will you excuse us?,n
2133727,1149,The wing!,n
2135287,2958,"No results by tomorrow, and the deal's off.",n
2138872,4551,"No more hiding. The farmers'll find you and back to the circus, fly boy.",a
2143560,3037,You're the first chick l ever met with the shell still on.,n
2149160,2833,"Sleep tight, angel face. The Rock's on the case.",n
2163967,1718,What? What?,s
2167407,1592,A beaut. A fine piece of work.,n
2169407,2230,lf l do say so myself.,j
2172047,2560,"l say so myself, too. - Wish l'd seen it.",j
2174960,3675,We slipped into the farmer's room. - Like a fish.,n
2178960,1115,And we ...,n
2181287,1479,Like a fish?,n
2183511,2195,You stupid idiot!,d
2185847,1638,"Anyway, here it is.",n
2187887,2036,El merchandiso! - That's Spanish.,n
2190327,1797,What're these two crooks doing here?,a
2192527,3595,"So, you know each other! - She don't think we're valuable.",n
2196527,1399,You guys are,n
2198327,3356,"the sneakiest, thieving parasites l've ever met.",n
2202087,3390,Don't. Stop it. - l've gone bright red.,n
2205887,1479,"So, how about the eggs?",n
2207767,1718,Eggs? You promised them ...,s
2209887,2195,"Yep, l promised them every egg l lay this month.",n
2212487,2798,When can we expect the first one?,n
2215687,3197,l'm brewing one up now. l'll keep you posted.,n
2220556,2594,A pleasure doing business with you.,n
2223687,1274,Sucker.,n
2226927,1752,What? - You lied to them.,s
2229040,4232,"l didn't lie, dollface. l just omitted certain truths.",n
2233727,3117,l'll give them what l promised. - Nothing. - Which they'll get.,n
2237247,2070,And what will you give us?,a
2240327,1638,Thrust.,n
2244247,1797,"You okay, sweetheart? Good, good.",n
2249127,3709,Now this will get you going. lt's a thrust exercise.,n
2253200,3231,The tension's killing me. - lt's gonna kill her.,j
2257352,1035,Release!,n
2263167,2116,"Come on, flap!",n
2268767,1672,You can do it. Flap!,n
2280160,2719,ls that your first of-fence?,n
2296876,1592,Roll call!,j
2299447,1319,l haven't laid any eggs.,f
2301474,2116,"Three days, not one.",f
2304527,2719,Why didn't you tell us? - l was so busy flying ...,s
2307647,1718,They're coming! - Hide me!,f
2309520,1911,Hide yourself!,n
2370880,1752,Double their food rations.,n
2373447,2389,l want them all as fat as this one.,n
2380440,3037,All of my life flashed before my eyes.,n
2384960,1513,lt was really boring.,n
2389078,1069,Chicken feed!,n
2390567,1672,My favorite!,j
2392927,1069,Wait!,n
2401360,989,"No, wait!",n
2405207,1752,"Babs, please! Bunty.",n
2407367,1877,Stop it! Wait!,a
2409647,1479,Stop!,a
2416407,989,Stop it!,a
2419487,3515,Something is wrong here. Can't you see that?,n
2424800,2878,"Strange boxes arrive. Babs stops laying,",n
2428207,2275,but she isn't taken to the chop. Extra food.,n
2430887,2912,Don't you see? They're fattening us up.,n
2434591,1479,They're going to kill us all!,n
2438640,1831,Heavy alert!,j
2441647,4073,"She didn't mean that, gals. - Do you mind? - Save some for me.",n
2446127,1592,What are you doing?,s
2448687,989,Let go!,a
2450087,3959,"l've met some hard-boiled eggs before, but you're about 20 minutes.",n
2454447,2560,"Meaning what? - Meaning, lighten up.",n
2457407,2912,"ln America we have a rule: To motivate someone,",n
2460727,1399,don't mention death!,n
2462767,3117,Funny. Over here the rule is: Always tell the truth!,a
2466287,1911,lt's been working like a charm.,n
2468120,3549,"You want them to perform, tell them what they want to hear.",n
2472830,1638,You mean lie?,a
2474607,1433,Here we go again.,n
2476873,3310,Know what your problem is? You're ... difficult.,n
2480167,1797,Why? Because l'm honest?,a
2482367,3549,l care about them. Something the Lone Free-Ranger,n
2486327,3515,doesn't know about. - Then l hope you never care about me.,a
2490247,2230,l never will. - Good. - Fine.,a
2541120,1274,What's all this?,n
2543327,2798,Here she is. Ask and you shall receive.,n
2546647,2798,That's biblical. - That's real craftsmanship.,n
2549847,1399,Solid as a rock.,n
2554080,1479,lt's supposed to do that.,n
2556287,1353,"Perfect, guys.",n
2558358,1319,How's that egg coming?,n
2560007,2878,This is a double yolker.,n
2571647,2673,l don't see what it has to do with ... - You will.,n
2575287,4278,We've been working hard. Let's relax and shake those tail feathers.,n
2579967,3037,Look at him! Nellpodging around like a ...,j
2583407,955,Good heavens!,m
2584767,1115,What's happening?,m
2586440,2070,That's called a beat. Feel it,n
2588767,2355,pulsing through your body?,n
2591527,1752,Oh yes. Who'd have guessed?,m
2593687,1831,"Then go with it, baby!",j
2599447,1718,"Look, l'm going with it!",j
2601598,1956,"Bunty, what's got into you?",j
2603927,2036,Same thing that's got into you.,n
2609280,1638,Just go with the flow.,j
2618960,2912,l don't recall authorizing a hop.,a
2622087,1718,Shut up and dance.,n
2631047,2912,"What are you sobbing about, you nancy?",n
2634473,1638,Little moments like this ...,j
2636407,3197,it's what makes the job all worthwhile.,j
2643040,1513,Want to dance?,n
2648080,989,"Yeah, all right.",n
2692200,2753,Did you see that? l flew!,j
2695207,2116,"Atta girl, Babsy! Atta girl.",j
2698280,2195,Your wing! lt's better!,j
2701647,1592,How about that? - Fantastic!,j
2703274,2878,You can fly for us tomorrow.,j
2706927,1877,"Yeah, so it seems.",n
2709207,1752,l flew!,j
2712671,1956,l owe you an apology.,n
2714767,2798,"l didn't think you cared, but after all this ...",n
2717967,2389,"Well, it seems l was wrong.",n
2720927,2230,"Easy, Miss Hard-Boiled.",n
2723567,2036,l might think you're turning soft.,n
2730967,2992,Listen. l have to tell you something.,n
2742120,2309,No! You'd better wait.,n
2767687,2878,That's champion ... What is it?,n
2771311,2468,"A pie machine, you idiot. Chickens",n
2773847,4152,go in. Pies come out. - What kind of pies?,n
2778407,989,Apple.,n
2779807,830,My favorite.,n
2780760,4596,"Chicken pies, you lummox! lmagine:",a
2786207,4755,"ln less than a fortnight, every grocer will be stocked with boxes",n
2791367,3629,of Mrs. Tweedy's Homemade Chicken Pies.,n
2795440,4198,"Just ""Mrs.""? - Woman's touch. Makes the public feel comfortable.",n
2800567,2036,"Oh, right. How does it work?",n
2803007,2833,"Get me a chicken, and l'll show you.",n
2807519,2309,l know just the one.,n
2813600,2639,l've got a score to settle with you.,n
2816487,2070,Bloomin' heck! They've got Ginger!,f
2823880,2798,We mustn't panic! We mustn't panic!,f
2830560,2878,"Quiet, l say! Let's have some discipline!",a
2833487,2389,The enemy has a prisoner. This calls,a
2836240,4118,for retaliation! Retaliation! - What's going on?,a
2840807,3515,They got Ginger. They're taking her to the chop!,f
2844240,1672,"What are you waiting for, laddie?",n
2846807,1353,Fly over there. Save her.,n
2848240,2070,Of course! No!,n
2851047,3879,Just what they'd expect. Give them the old element of surprise!,n
2855327,2639,And catch Jerry with his trousers down!,a
2858367,1592,l like that. What's the plan?,n
2860367,1956,The plan ...,n
2862727,1513,The plan ... Babs!,n
2864647,2798,"Give me that thing. Bunty, give me a boost.",n
2881520,1991,Look at the size of that thing.,n
2887680,1035,"Oh, no.",s
2890478,1638,"Chickens go in,",n
2892727,1479,pies come out.,n
2898200,2275,Chicken pies. Not apple pies.,n
2901047,1433,Chicken!,n
2909440,2116,Great! Brilliant!,j
2912477,1035,Yo! Baby doll!,n
2914167,1672,l'm coming! - Hurry!,n
2917240,3197,l'm still coming! - Come on! Stop this thing!,n
2921320,1353,l'm getting there.,n
2926160,1194,Shoot!,n
2929287,2230,l'll be down before you can say ...,n
2932167,1513,mixed vegetables?,n
2955160,1069,D'oh! Get it?,n
2956447,1638,Dough. - l'm stuck!,f
2958755,1319,Nothing to it.,n
2975967,989,Hang on.,n
2982600,989,Look out.,f
3015040,2355,lt's like an oven in here.,n
3026120,1149,Come on!,f
3030432,989,Wait!,f
3032607,1353,Go over to the ...,n
3045554,1672,The door! Come on!,f
3069320,3072,She's gonna blow! Run!,f
3077200,3913,"What did you do, you great pudding? - Nothing.",n
3089600,2753,Turn it off! - lt won't turn off!,f
3116447,2036,We've got to show the others. Come on!,n
3127280,1991,Look. l fixed it.,n
3133800,1911,Chicken pies?,s
3136367,989,"Yes, but ...",n
3137767,2389,l don't want to be a pie!,f
3140567,1831,l don't like gravy.,c
3143349,2275,"Ladies, let's not lose our heads.",n
3145967,1194,Lose our heads?,f
3155760,4391,"What l meant was, Rocky sabotaged the machine and bought us more time.",n
3160280,3276,"And better still, he's going to fly for us tomorrow.",n
3164273,2673,"Once we see how, l know we'll get it.",n
3167327,4710,So don't worry. Tomorrow everything is going to go much smoother.,n
3181920,2150,"Alright, Pops, what did l do now?",n
3184567,1991,A very brave and honorable deed.,n
3189120,2912,"ln the light of your action today,",n
3192287,3436,l dutifully admit that l misjudged your character.,n
3197511,2468,l present you with this medal for bravery.,n
3201917,2150,And l salute you.,n
3208127,1274,"ln honor of this occasion,",n
3209807,2355,l surrender the bunk entirely.,n
3212567,2912,l shall sleep under the stars.,n
3218520,5632,l await tomorrow's flying demonstration with great anticipation.,n
3226960,2070,"You and me both, Pops.",n
3238280,2116,"Oh, were you ...? - ls this your ...?",n
3240847,3037,Since you're here ... - l'm glad you're here ...,n
3244287,2389,You go first. - You go ahead.,n
3249238,3993,"l just wanted to say, l may have been a bit harsh at first ...",n
3253796,2992,What l really mean is ...,n
3256967,1115,thank you,n
3258720,2070,for saving my life.,n
3261047,2116,For saving our lives.,n
3263714,3310,"You know, l come up here every night",n
3267407,3993,"and look at that hill, imagining what it's like on the other side.",n
3272238,1831,lt's funny ...,n
3274287,3879,l've never actually felt grass beneath my feet. l'm sorry.,c
3278967,3436,"l'm rambling on about grass, and you had something to say.",n
3285767,2070,lt's just that ...,n
3288720,3515,"life, as l've experienced it, out there",n
3292679,2309,lone free-ranging and stuff ...,n
3295247,2468,lt's full of disappointments.,c
3298200,2389,So grass isn't all it's cracked up to be?,n
3300927,4471,Grass! Exactly. lt's always greener on the other side.,n
3305807,2036,"And then you get there,",n
3308247,3549,and it's brown and prickly. See what l'm saying?,n
3315960,1911,What l'm trying to say is ...,n
3321687,1592,you're welcome.,n
3323960,5233,"You know, that hill is looking closer tonight than it ever has before.",n
3335200,2798,"Good night, Rocky.",n
3339480,750,"Good night,",n
3340927,1353,Ginger.,n
3364880,3549,"Company, attention!",n
3373320,3709,"Today's the day, girls. We're going to fly. l can feel it.",j
3379120,2833,"Finally, we get to see a professional in action.",j
3382247,2230,Start warming up. l'll go get him.,n
3385047,2036,"Rocky? Knock, knock.",n
3387487,2230,"Everyone's waiting, so l told them ...",n
3496567,1115,A cannon.,s
3498087,3390,That'd give you a thrust. - l knew he was fake all along.,n
3501887,3276,"ln fact, l'm not even sure if he was American.",n
3507087,1353,What's the next plan?,n
3509920,4437,Face it. The only way we get out is wrapped in pastry.,n
3515287,3515,Perhaps he just went on holiday. - Perhaps he left to get away,n
3519207,2195,from your infernal knitting!,a
3524280,2355,You always hit him. See how you like it.,n
3527407,1797,"Don't push me, four-eyes!",d
3530807,1433,Quiet!,a
3532647,2389,"Quiet, l say! Dissention",a
3535473,3629,in the ranks. Just what Jerry wants. The old divide and conquer.,n
3539479,1877,"A proper squadron work together,",n
3541767,2309,just like we did in my RAF days.,n
3544514,3959,"Jocko at the stick, Flappy at the map, and Whizzbang at the tail-end Charlie.",n
3548840,3834,"Wingco would give the call, hop in the old crate, chocks away!",n
3553087,2116,That's how you get medals!,n
3555887,4357,Will you shut up about your stupid bloomin' medals!,d
3565967,2036,How dare you!,a
3569552,2798,Forgive me. As an officer ...,n
3593440,2798,"Everyone, shut up!",a
3606527,1877,What exactly is the RAF?,n
3609280,1228,What do you mean?,n
3610887,2468,The Royal Air Force is what.,n
3613876,2912,"Then what's the ""old crate""?",n
3619767,1558,There she is!,n
3623320,3834,"Gorgeous, isn't she? - You mean, you flew? ln one of these?",s
