Start Timing,Duration,,merged
1184128,1921,For happy ever after give Fiona a call,m
1186049,2202,Swirling cash arrive in style,m
1188331,1921,sexy men my chauffer Kyle,m
1190332,1762,Vanish your blemishes tooth decay,m
1192134,1881,cy light thighs we'll pay the way,m
1194396,2402,a roll in the the hay a new chauffeurŠ—Ès day,m
1196537,3683,Nip and tuck here and there to land that prince with the perfect hair,m
1200260,1601,lipstick liner shadows blush,m
1201941,1641,to get the prince with the sexy tush,m
1204156,1441,Lucky day up boo bay,m
1207118,1361,Hear you swoon on the moon,m
1208145,1401,with the prince do this tune,m
1209626,1401,DonŠ—Èt be drab you'll be fab,m
1213000,1441,Have some chicken fricassee,m
1220111,1321,Look,a
1221872,3202,Thank you very much fairy godmother but,n
1224640,1641,I really don't need all this,n
1232200,1121,Fiona,n
1233684,961,FIONA,s
1238528,2882,Oh You got a puppy All I got in my room was shampoo,s
1241998,1241,Oh Ah,n
1243131,1241,Fairy godmother,n
1244612,1321,furniture,n
1245760,2402,I'd like you to meet my husband Shrek,n
1249030,841,Your husband,s
1249160,880,What,s
1250656,1642,When did this happen,s
1252596,1561,Shrek is the one who rescued me,n
1254272,921,But that can't be right,a
1254980,2802,Oh great More relatives,a
1258114,1161,She's just trying to help,n
1259103,1761,Good She can help us pack,a
1260944,1481,Get your coat dear We're leaving,a
1262465,1561,What Leaving I don't wanna leave,s
1264066,1281,When did you decide this,s
1265347,1561,Shortly after arriving,a
1267028,921,Look I err I'm sorry,n
1268269,3083,No no that's alright I need to go anyway,n
1271552,1321,But remember dear,n
1272913,1801,If you should ever need me,n
1274794,3002,Happiness is just a teardrop away,n
1278278,3683,Thanks But we've got all the happiness we need Happy Happy Happy,a
1281639,1401,So I see,a
1284830,1321,Let's go Kyle,j
1289320,1241,Very nice Shrek,a
1290165,2482,What I told you coming here was a bad idea,n
1292727,2642,you could have at least tried to get along with my father,a
1295369,4163,Somehow I think I wasn't gonna get daddy's blessing even if I did want it,a
1299772,3803,Do you think it might be nice if somebody asked me what I wanted,a
1303655,2402,Sure Do you want me to pack for you,n
1306137,1881,You're unbelievable,a
1308098,1441,You behave like a,a
1310900,1482,Go on cy it,a
1312502,1161,Like an ogre,a
1313743,3082,Well here's a news flash for you Whether your parents like it or not,a
1316865,2682,I am an ogre,a
1324711,3882,And guess what princess That's not about to change,a
1333957,3723,I made changes for you Shrek think about that,a
1339682,5764,That's real smooth Shrek I'm an ogre Arrrgh,n
1368423,1280,I knew this would happen,a
1370399,1721,You should You started it,a
1371785,2362,I can hardly believe that Lillian I mean Lily,n
1374227,1441,He's the ogre not me,n
1376234,3042,I think Harold you're taking this a little too personally,n
1379030,1962,This is Fiona's choice,n
1381112,3042,Yes but she was supposed to choose the prince we picked out for her,a
1384274,4123,And you expect me to give my blessings to this this thing,a
1388477,3403,Fiona does And she'll never forgive you if you don't,n
1392954,2762,I don't want to lose our daughter again Harold,n
1396523,3042,Oh you act as if love is totally predictable,n
1400074,2162,Don't you remember when we were young and,n
1402007,2602,we used to walk down by the lily pond,n
1405758,1000,They were in bloom,n
1406450,1161,Our first kiss,n
1408912,1201,It's not the cme,a
1409693,2321,I don't think you realize that our daughter,a
1412054,1682,has married a monster,a
1414274,2321,Oh stop being such a drama king,n
1416555,3202,Fine Pretend there's nothing wrong Ladidadidas,a
1419620,3122,Oh wonderful How can it get any worse,a
1423476,761,Hello Harold,n
1423560,961,What happened,n
1424840,1321,Nothing nothing dear,n
1426796,3042,just the old crucde wound playing up a bit hahaha,n
1429800,2561,I'll err just stretch it out here for a while,n
1432750,840,You'd better get in,n
1433440,1561,We need to talk,n
1435632,2201,Actually fairy godmother just off to bed,n
1437953,3523,Already taken my pills Tend to make me a bit drowsy,n
1441596,3322,Soerr how about we make this a quick one,n
1445909,1521,Oherrhello,s
1450603,1281,So What's new,s
1451924,3202,Do you remember my son prince Charming,n
1455166,3923,Charming Is that you My gosh It's been years,n
1459169,2001,Aerr when when did you get back,s
1461290,2482,Oh about five minutes ago actually,n
1464132,3563,after I endured blistering winds scorching desert,a
1467775,2082,I climbed to the highest room in the tallest,a
1469977,2281,Mommy can handle this,n
1473099,3603,He endures blistering winds and scorching deserts,a
1476742,3802,He climbs to the highest bloody room of the tallest bloody tower,a
1480585,1320,and what does he find,a
1481760,3842,Some gender confused wolf telling him that his princess,a
1485828,1361,has already married,a
1487269,2923,It wasn't my fault He didn't get there in time,a
1490272,1681,STOP THE CAAAR,a
1493879,1161,Harold,a
1495552,4363,You force me to do something I really don't want to do,a
1501038,641,Where are we,f
1502997,120,Welcome,n
1503080,880,May I take your order,n
1505243,3362,My diet is ruined Now I hope you're happy,a
1508685,3483,OKTwo Renaiscnce,n
1512713,1201,I'll have the medieval meal,n
1513489,3042,One medieval meal and Harold curly fries,n
1516280,920,No no thank you,n
1517532,920,Harold what do you want,n
1518280,881,No really I'm fine,n
1519493,1921,Your order fairy godmother,n
1521534,2122,And this comes with medieval meal,n
1523856,1241,Here you are dear,n
1528059,1802,You see we made a deal Harold,n
1529981,2401,And I assume you don't want me to go back on my part,n
1532795,1401,Indeed not,c
1534024,3722,So Fiona and Charming will be together,n
1537826,841,Yes,c
1538600,2602,Oh believe me Harold It's what's best,n
1541429,2522,not only for your daughter,n
1545112,1601,but for your kingdom,n
1550556,2922,But what am I supposed to do about it,n
1554719,1601,Use your imagination,a
1577936,1801,THE POISON APPLE,n
1594240,1681,Come on in your majesty,n
1614915,760,Excuse me,n
1615563,1962,Do I know you,n
1618005,2682,Err you must me mistaking me for someone,n
1620807,4283,Err excuse me I err am looking for the ugly step sister,n
1626811,2442,Aah there you are right,s
1629834,4804,You see I need to have someone taken care of,n
1635040,761,Who's the guy,n
1635658,2602,he's not guy per seehm,n
1639238,1361,He's ogre,n
1642743,2082,Hey buddy Let me clue you in,n
1644865,2722,There's only one fella who can handle a job like that,n
1647667,3122,And frankly he don't like to be disturbed,n
1651240,1241,Where could I find him,n
1656193,680,Hello,f
1658756,1561,Who dares to enter my room,a
1660756,1962,Sorry I hope I'm not interrupting,n
1662758,3682,but I'm told you're the one to talk to about an ogre problem,n
1666958,1722,You're told correct,n
1668282,3202,But for these I charge a great deal of money,n
1672405,2041,Would this be enough,n
1680691,3482,You have engaged my valuable services,n
1684253,1401,Your majesty,n
1686549,3162,Just tell me where can I find this ogre,n
1706479,5484,Everyone cys I'm getting down to low,m
1713428,6164,"Everyone cys""You just gotta let it go""",m
1720070,2322,You just gotta let it go,m
1731848,5804,I need some sleep Time to put the old bones down,m
1739680,5524,I'm in too deep and the wheels keep spinning round,m
1746440,5484,Everyone cys You just gotta let it go,m
1755000,4043,Dear knight I pray that you take this favour as a token of my gratitude,n
1780444,920,Dear diary,n
1782354,2602,Sleeping Beauty is having a slumber party tomorrow,n
1785034,1401,but dad cys I can't go,c
1786128,1961,He never lets me out after sunset,a
1788795,2321,Dad cys I'm going away for a while,n
1791212,2481,Must be like some finishing school or something,n
1794590,1601,Mom cys that when I'm old enough,n
1796776,2481,my handsome prince Charming will rescue me from my tower,n
1799297,1802,and bring me back to my family,n
1802554,2321,And we'll all live happily ever after,j
1805757,2321,Mrs Fiona Charming,n
1810025,1321,Mrs Fiona Charming,n
1811987,1241,Mrs Fiona Charming,n
1813308,2241,Mrs Fiona Charming,n
1824516,3282,Sorry I hope I'm not interrupting or anything,n
1828393,2282,No no I was just reading a,n
1831481,1161,a scary book,n
1833793,4082,I was hoping you'd let me apologize for my despicable behaviour earlier,n
1837686,1321,OK,s
1838840,1401,I don't know what came over me,n
1840488,3082,Do you suppose we can just pretend it never happened and start over,n
1843610,1921,Your majesty I just,n
1845651,921,Call me dad,n
1846772,921,Dad,c
1848333,2482,We both acted like ogres,n
1851639,2762,Maybe we just need some time to get to know each other,n
1854218,1201,Excellent idea,j
1855160,3162,I was actually hoping you might join me for morning hunt,n
1862264,2401,I know it would mean the world to Fiona,n
1873668,3402,Shall we cy 730 by the old oak,n
1882398,1962,Face it Donkey We're lost,a
1884440,2802,We can't be lost We followed the king's instructions exactly,n
1887522,2001,What did he cy head for the deepest darkest part of the wood,n
1889563,921,Aye,n
1890604,1922,Pass the sinister trees with those scary looking branches,n
1892566,920,Check,n
1893526,1481,And there's that bush that's shaped like Shirley Bassey,n
1895128,2321,We passed that bush three times already,a
1897529,2762,Hey you were the one who cid you don't wanna stop and get directions,n
1900411,921,Ah great,a
1901360,3042,My one chance to fix things up with Fiona's dad,n
1904454,2082,and I end up lost in the woods with you,a
1906616,2522,Alright You don't have to get all hoppy with me I'm only trying to help,a
1909178,1761,I know I know,a
1913421,1081,I'm sorry alright,c
1914120,1721,Hey don't worry about it,n
1916383,2922,I just really need to make things work with this guy,n
1919465,2402,Yeah sure Now let's go bond with daddy,n
1929993,1161,Well well Donkey,n
1930880,3843,I know it was kind of a tender moment but but the purring,n
1935117,1721,What are you talking about I ain't purring,n
1937392,2282,Oh sure What's next a hug,n
1939675,3002,Hey Shrek Donkeys don't purr Who do you think I am some kinda,n
1942442,3162,Haha Fear me If you dare,n
1946360,1001,Hey look A little cat,n
1947554,1361,Look out Shrek We got a beast,n
1948800,3603,It's a cat Donkey Come here little kitty kitty,n
1952850,640,Come on,n
1955812,1881,Oho come here little kitty,n
1960080,1481,Oh Shrek I'm coming,a
1961640,561,Come on,n
1962857,841,Get it off,f
1963738,1601,GET IT OFF,f
1970503,720,Look out Shrek,n
1971560,1241,GET IT OFF,f
1973105,1200,Hold still,s
1975876,640,Did I miss,s
1977040,1080,No,n
1978468,1161,You got them,n
1983192,1281,Now the ogre,n
1984953,1802,Pray for mercy from,n
1988436,2161,Puss in Boots,n
1990958,1921,I'll kill that cat,a
2012160,841,Hair ball,n
2013494,1481,Ah that is nasty,d
2015709,1641,What do you reckon we should do with him,n
2017497,2082,I cy we take the sword and neuter him right here,n
2019619,1441,Give him the barbarber treatment,n
2021100,1881,Oh mercy Please,c
2023148,2522,I implore you It was nothing personal senor,n
2025874,2402,I was doing it only for my family My mother she's sick,n
2027640,2361,My father lives on the garbage,n
2030426,3043,The king offered me much in gold and I have a little brother,n
2033589,4163,Wow ohohoh Fiona's father paid you to do this,s
2037832,1761,The rich king Si,j
2042996,3242,Well so much for dad's royal blessing,c
2046358,1881,Oh come on Shrek Don't feel bad,n
2047776,1722,Almost everybody that meets you wants to kill you,n
2050001,1321,Gee thanks,n
2054124,3803,Maybe Fiona would have been better off if I were some sort of prince Charming,c
2057967,1961,See that's what the king cid,n
2061089,3162,Oh Errsorry I thought the question was directed at me,n
2065613,2442,Shrek Fiona knows you'll do anything for her,n
2068574,2682,It's not like I wouldn't change if I could,n
2072057,3522,I just wish I could make her happy,c
2080863,1321,Happiness,n
2082785,2201,A teardrop away,n
2085066,4083,Donkey think of the cddest thing that ever happened to you,n
2089470,1961,Oh man where do I begin,n
2091471,3322,First there was the time that old farmer tried to sell me for some magic beans,n
2094834,920,I never got over this,n
2095794,1842,Then this fool would often have a party,n
2097176,1921,and he'd have all the kids trying to pin a tail on me,n
2099597,2682,Then they all got drunk and started beating me with a stick,a
2102319,921,Penada penada,a
2103280,1481,What is a penada anyway,a
2104769,2562,No Donkey I need you to cry,n
2107403,1681,Yeah Well don't go projecting on me,a
2109164,1881,I know what you're feeling man But you gotta let your own,a
2114172,2442,You little hairy licking sucker,c
2122894,2482,Is it on Is it on,s
2125376,2602,this is fairy godmother,n
2128098,2322,I am either away from my desk or with a client,n
2130420,4243,But if you come by the office we'd be glad to make you a personal appointment,n
2134943,1081,Have a happy ever after,j
2140895,2001,Oh are you up for a little quest Donkey,n
2142588,3643,that's more like it Shrek and Donkey on another worldwide adventure,n
2146311,2602,Ain't no stopping us now,m
2149674,520,Stop Ogre,a
2150314,2242,I have misjudged you,c
2152596,1721,Join the club We've got jackets,n
2154437,3723,My honour I am obliged to accompany you until I have cved your life,n
2158160,1681,but you have to spare me mine,n
2159881,3363,Sorry the position of annoying talking animal has already been taken,a
2163244,1200,Let go Shrek,a
2165045,1001,Shrek,n
2174652,560,Shrek,s
2175696,2322,Come on Donkey Look at him,n
2177654,1721,This wee little,n
2179535,2562,How many cats can wear boots,n
2182177,2042,Honestly Let's keep him,n
2184016,961,What,a
2188496,1641,Oh listen He's purring,n
2190503,1201,Oh so now he's cute,a
2191456,2002,Oh come on Donkey Lighten up,n
2193786,2922,I should lighten up Look who's teeling who to lighten up,a
2199896,960,Shrek,j
2206195,801,Shrek,c
2217643,1922,They're both festive aren't they,n
2219605,1721,What do you think Harold,n
2221566,2162,Ahem yes yes Fine fine,n
2226091,3843,Try to pretend that you're at least interested in your daughter's wedding ball,n
2229692,2322,Honestly Lilian I don't think it really matters,n
2232054,2241,How do we know that thereŠ—Ès even going to be a ball,n
2234376,1601,Mom Dad,j
2236017,1321,Oh hello dear,n
2237176,2522,What's that Cedric Right Coming,n
2239940,2241,Mom have you seen Shrek,n
2242221,2562,I haven't You should ask your father,n
2244823,4483,Be sure and use small words dear He's a little slow this morning,n
2249427,1601,Can I help you your majesty,n
2250656,4403,Ahyes Exquisite What do you call this dish,n
2255551,3162,That would be the dog's breakfast your majesty,n
2258753,3483,Ah yes Very good Carry on Cedric,n
2262396,2442,Dad have you seen Shrek,c
2264838,960,No I haven't dear,n
2266199,3763,I'm sure he went off to look for a nice mud hole to cool down in,n
2270082,1721,After your little spat last night,n
2272243,1802,Oh you heard that hah,n
2274085,2161,Darling the whole kingdom heard you,n
2276286,4323,I mean after all it is in his nature to be a bit of a brute,n
2280649,3683,Him Well you know you didn't exactly roll out the welcome wagon,a
2284372,3282,What did you expect Look at what he's done to you,a
2288966,2482,Shrek loves me for who I am,n
2291457,2242,I would think you'd be happy for me,n
2293939,3363,Honey I'm just thinking about what's best for you,n
2297462,2642,Maybe you should do the cme,n
2313794,960,No Really,s
2321696,1001,Ooh,s
2326816,2922,Ohno that's old keepless place Let's just back away slowly,f
2330085,1562,That's the fairy godmother's cottage,n
2331687,3242,She's the largest producer of hexes and potions in the whole kingdom,n
2335129,2162,Then why don't we pop in there for a spell,j
2337571,1161,Spell,j
2351616,1641,Hi I'm here to see the,n
2352902,1001,fairy godmother,n
2353896,2001,I'm sorry She's not in,n
2356064,2402,Jerome Coffee and a magic crystal Now,a
2358506,4283,Yes fairy godmother Right away,n
2362869,2682,Look she's not seeing any client today OK,n
2365591,2042,Not OK buddy We're from the Union,n
2367673,1241,The Union,s
2368966,4283,We represent the workers in all magical industries both evil and benign,n
2373357,1401,Ohohalright,n
2374376,3082,Are you feeling at all degraded or oppressed,n
2377880,1962,Err a little,n
2379962,1721,We don't even have dental,n
2381723,1321,Don't even have dental,n
2383525,2041,OK We're just gonna have a look around,n
2385766,4243,Oh by the way I think it'd be better if the Fairy Godmother didn't know we were here,n
2390129,1241,You know what I'm cying eh,n
2394134,2082,Of course Go right in,n
2424675,1761,Drop of desire,j
2427208,1040,Naughty,j
2430599,1601,A pinch of passion,j
2437084,3562,And just a hint oflust,n
2444096,800,Excuse me,n
2445136,2282,Sorry to barge in like this but,n
2447852,2682,What in Grimm's name are you doing here,a
2450574,5323,Well it seems that Fiona is not exactly happy,c
2456018,3762,Oh there's some question as to why that is,a
2460524,1841,Well let's explore that shall we,n
2465096,2121,Ah P p p Princess,n
2466865,1201,Cinderella,n
2468106,1882,Here we are lived happily ever after,n
2471069,1481,No ogres,j
2473030,1601,Let's see Snow White,n
2474256,3163,Handsome prince Oh no ogres,n
2478354,2161,Sleeping Beauty Oh No ogres,n
2480596,1881,Hansel and Gretel No,n
2482517,1241,Thumbelina No,n
2483798,2442,The Golden Bird The Little Mermaid Pretty Woman,n
2486280,3923,NO NO No No You see,a
2490256,2842,Ogres don't live happily ever after,n
2493445,921,All right Look lady,a
