Start Timing,Duration,Text,Merged
166400,2833,"Uncle Sid, we need this so that Santa can find us tonight.",    n
169400,2275,"What, this? Oh, pfft.",    s
171800,1797,(STUTTERS) He could go right past it.,    n
173720,2798,"You need something bigger, taller, sparklier.",    n
176600,1911,Something with a pizzazz.,    n
178680,1513,"Um, a tree!",    j
180840,1319,A Christmas tree?,    s
182280,1797,(SCOFFS) Do you know how ridiculous that sounds?,    n
184720,1479,"Theres millions of trees out there, Sid.",    n
186360,1592,How would anyone notice this one?,    n
188040,1149,"Well, we could decorate it.",    n
190040,955,"Crash, Eddie.",    n
191029,1194,- Whoo-hoo! - (LAUGHS),    j
192522,1479,(SCATTING),    m
197962,1035,Sweet!,    j
199282,1149,(LAUGHS),    m
200842,955,(GAGS),    m
207040,1399,"And, voilˆ!",    n
209400,1149,It does look pretty good.,    n
210800,1353,"Ah, itll never catch on.",    n
212280,1194,Its beautiful.,    j
213600,3276,Hmm. It needs a certain razzle-dazzle on top.,    n
217000,1911,Something that says Sid.,    n
218956,1069,(GASPS),    m
223362,1115,Ooh.,    s
227640,3515,"And just like that, a tradition is born.",    n
231155,1353,Huh?,    m
233402,1513,(ALL EX CLAIMING),    m
234920,1069,Hey!,    a
237682,955,(BOTH GASP),    m
238680,2309,"Seriously, what did you think was gonna...",    n
241760,1991,"Yep. That says Sid, all right.",    n
247962,1319,(GROWLS),    m
249720,2275,"Okay, okay. Lets just keep it together.",    f
252120,3037,"It really is about the spirit of Christmas, isnt it?",    f
255280,2275,"Youre about to be a spirit of Christmas, Sid!",    n
257600,1718,"Manny, please. Im so sorry.",    f
259520,1797,"You know what, Sid, Im the least of your worries.",    a
261560,1592,You gotta answer to Santa.,    a
263240,2036,Santa? Santa Claus?,    s
265440,1991,He is never gonna forgive this.,    a
267520,2195,You just got yourself on Santas...,    a
269840,3629,"Uh, ah, Santas Naughty List.",    n
273515,989,(GASPS),    m
274680,1433,Santa has a Naughty List?,    s
276480,1149,Yeah! Yeah!,    n
277760,2958,"And if youre not good, then he puts your name on it.",    n
280840,1194,Were never good.,    n
282080,955,Then why start now?,    n
283069,955,(GROANS),    m
284522,4118,"Well, if your names on the Naughty List, you dont get Christmas.",    a
288594,955,(GASPS),    m
289842,955,(GASPS),    m
290560,2958,But no! Why me?,    c
294040,1877,Besides the fact that its my fault. (CHUCKLES),    n
296080,2275,The Naughty List? Where did you come up with that?,    n
298480,2798,Relax. Sids gullible but hes not that gullible.,    n
301520,1877,He knows this Santa stuff is just for kids.,    n
303520,2468,What? You dont believe in Santa?,    s
306120,1672,"Um, I, well...",    n
307920,1479,"Of course, he believes.",    n
309520,1991,Thats the magic of Christmas.,    n
311680,2992,"If anyone deserves to be on the Naughty List, Dad, its you!",    a
315640,1718,"She sure told you, didnt she?",    n
317440,1877,"Well, too bad, Im a grown-up.",    n
319480,1956,Grown-ups dont believe in the Naughty List.,    n
321436,1752,(SOBBING),    c
323400,2275,Im not getting Christmas.,    c
325630,1831,(INDISTINCT MUMBLING),    m
327680,1228,"Dont cry, Sid.",    n
329040,1069,Why not?,    c
330240,1513,Your tears are freezing solid.,    n
331639,1035,Huh?,    s
334002,1479,(GRUNTS),    c
336042,2036,(CRIES),    c
339362,1069,(ICE CRACKING),    m
340562,1638,(SCREAMS),    m
366922,1797,(CLASSICAL WALTZ MUSIC),    m
386562,1274,(MUSIC ENDS),    m
392882,955,(SCREAMS),    m
396320,2195,Why am I on Santas Naughty List?,    c
398680,1228,Why? Why?,    c
400000,2434,"My guess, because he doesnt have a loser list.",    n
402960,1592,"Well, thanks for trying to cheer me up.",    n
404720,1228,I still feel terrible.,    c
406160,1228,"Pull it together, Uncle Sid.",    j
407480,1194,Weve got work to do.,    n
408800,1069,But Im still sulking.,    n
410080,1877,- No time. - Were going to the Pole.,    n
412120,989,The North one?,    s
413200,1319,Yep. Were gonna find Santa,    n
414640,1718,so I can prove to my dad that hes real.,    n
416480,2036,And were gonna get you off that list.,    n
418680,989,"And us, too!",    n
419800,2560,We may be naughty but we still want Christmas.,    n
422440,2116,"Peaches, honey, you cant come with us.",    n
424680,1672,This is a very dangerous journey.,    n
426480,3675,The North Pole is a desolate land of ice and snow.,    n
432720,1479,This isnt exactly Miami.,    n
434360,2912,"Come on, Uncle Sid, I want us all to have Christmas together.",    n
437400,1069,Hmm. I dont know.,    n
438560,2560,Its wildly irresponsible and impulsive but lets do it!,    j
441280,2309,"- Northward, ho! - CRASH AND EDDIE: Ho ho ho!",    j
443840,3834,"(SIGHS) Uh, guys, lets follow the northern lights.",    n
447840,1513,North. Get it?,    n
449920,1911,- Northward ho! - Santa ho!,    j
452000,1353,Ho ho ho!,    j
456640,1718,SID: (SINGING) On the ninth day of Christmas,    m
458440,3390,My true love gave to me Nine fleas a-biting,    j
461960,1194,Eight pounds of ear wax,    j
463320,1558,Seven frosty fingers,    s
464960,1319,Six frosty fingers,    f
466400,2036,ALL: Five rotten...,    j
468520,955,SID: Eggs?,    s
469640,2878,Huh. I think we just marched off the Earth.,    n
472640,1353,"No, its a white-out.",    n
474120,1672,Well be safe as long as we all,    n
476480,1479,stay together.,    n
478720,1831,"Peaches, where are you?",    f
480720,1513, Uncle Sid? - Peaches?,    n
482280,1513, Uncle Sid? - Peaches?,    f
483793,1115,Huh?,    n
485280,3788,"Eddie? Where are you, Eddie? Oh, wait. Im Eddie.",    f
489802,1513,(WHIMPERS),    m
492362,955,(GASPS),    m
493442,955,(GRUNTS),    m
494280,3310,"Okay, everyone, grab hold of your buddy and follow me.",    n
499200,2878,I have an excellent sense of direction.,    n
502200,1115,Wait.,    n
504162,1672,(SNEEZES),    m
505840,1319,Bless you. - Thank you.,    n
507159,1115,(ALL SCREAMING),    f
514362,1718,(ALL SCREAMING),    f
516202,1228,(SCREAMS),    f
518922,1433,(GRUNTS),    m
520800,2309,Ha! Did you see what I just did there?,    j
523109,989,(HUFFS) Pa-pow!,    n
524360,1069,Youre a reindeer.,    j
525520,955,"Yeah, I know.",    n
526600,1274,You can fly!,    j
528000,955,I know!,    n
529080,1592,- Youre amazing! - I know!,    j
530840,4039,"Check it out, Sauerkraut. I can hover, roll and zing.",    n
534960,1797,- Zing? - Zing! Bam!,    s
536791,1228, (SCREAMS) - (CHUCKLES),    m
538362,955,(COUGHS),    n
539160,1035,Whats your name?,    n
540520,1911,"My name is, um, uh, Prancer.",    n
542600,955,Prancer?,    j
543555,1399,(LAUGHING),    n
545240,955,Its a family name.,    n
546360,1274,"Oh, dont listen to them.",    n
547720,2070,You saved our lives and well never forget you.,    n
549960,1319,Have a merry Christmas.,    n
551320,1399,Are you sure you dont need my help?,    n
552920,1672,"Oh, no thank you. Youve done more than enough.",    n
554720,1353,"Look, well take it from here. (SCREAMS)",    n
557400,1718,The reindeer comes with us.,    n
560360,1479,"Uh, what do you think?",    n
563120,2514,You want an honest answer or a Christmas answer?,    n
565800,1558,"Uh, Christmas answer.",    n
567720,1149,Its gorgeous.,    n
569560,1274,ELLIE: Manny? - Huh?,    f
570920,1956,Have you seen Peaches? I cant find her anywhere.,    f
573000,1831,"And Sid, Crash and Eddie are gone, too!",    f
574920,1513,"Last I saw them, they were trying to figure out",    n
576520,1353,how to get off Santas Naughty List.,    n
578080,1911,What Naughty List? I made it up!,    a
580040,955,We gotta find them.,    s
581200,2036,"Diego, can you pick up Sids scent?",    n
583240,1558,I can but it makes my eyes burn.,    n
585240,840,- BOTH: Do it! - (SIGHS),    a
586313,716,- BOTH: Do it! - (SIGHS),    a
587082,989,(SNIFFS),    m
588202,955,(GAGS),    m
589160,955,Got it.,    n
590149,955,(GROANS),    n
593520,3436,"So, Prancer, how long will it take us to get to the, uh, North Pole?",    n
597280,2070,Whoa! Whoa! Whoa! You cant walk to the North Pole.,    n
599440,989,Its too far.,    n
600600,3470,"But I can fly you there. No sweat, on Air Prancer.",    n
604200,1433,"Oh, oh, no, we couldnt.",    n
605760,1592,"No, no, no, no. My family raised me",    n
607480,2958,to be good to strangers and theres really no one stranger than you guys.,    n
610517,955,Huh?,    n
611560,1035,Shotgun!,    j
613242,1274,(ALL CHEERING),    n
614360,2195,"Weve run into a little turbulence, folks.",    n
616840,1752,Please fasten your seatbelts.,    n
618760,1718,"Im not too heavy, am I?",    n
620600,1558,"No, no. Youre light as a feather.",    n
622280,1991,A 788 pound feather.,    n
624360,2514,(GAGS) Do you come equipped with barf bags?,    s
630280,3709,Peaches! Peaches!,    f
634120,1353,"Manny, wheres Diego?",    n
635519,1319,(MUFFLED MUMBLE),    m
637040,2389,"Diego! Buddy, are you okay?",    f
639474,1194,(SCREAMS),    f
642120,1513,Glad you didnt kiss me?,    n
645800,1319,Are you sure this is North?,    n
647320,1069,I dont know. I...,    n
648520,2355,(INHALES) Im all scrambled.,    n
650960,1479,"Wait, tracks!",    a
652600,1319,"Uh, Diego?",    n
655440,3754,"The geomagnetic whatever, its messing with my sense of direction.",    n
659360,1513,"Oh, well, thats just great!",    a
661000,3072,"Were completely lost, my little girl is missing and...",    a
664200,2434,"Manny, honey, everythings gonna be fine.",    n
666760,955,How?,    a
667840,1752,Just believe in the magic of Christmas.,    n
669720,1228,"Oh, this is silly.",    a
671080,1479,- Just try it. - Its not gonna work.,    a
672680,1433,Do it for Peaches.,    a
674722,1194,(MANNY SIGHS),    m
675920,1228,I believe.,    n
677320,1149,I believe.,    n
681040,2594,"Manny, look! The northern lights!",    j
683800,1228,North. Get it?,    j
685960,2833,"Um, that was just a coincidence, right?",    n
688840,2434,Who cares? Ill take it. Lets go.,    n
695642,1115,(SID GROANS),    m
696882,1479,(ALL GASPING),    m
698400,2309,EDDIE: We must be getting close.,    n
701480,1035,Sugar plums!,    j
703560,1035,Peppermint bark!,    j
705560,2036,"Yellow snow, my favorite!",    j
707720,2116,"Dont, just dont.",    d
709960,2468, HEAD MINI SLOTH: Halt!None shall pass. - (ALL GASP),    n
713920,3197,"Oh. Oh, hi, little guy. So, who are you?",    n
717200,1194,We are the Santourage.,    n
718560,3834,We keep intruders out so Santa can do his work without interruption.,    n
722520,3117,(GASPS) I knew he was real! Youve gotta let us see him.,    j
725760,1274,It is forbidden!,    a
727160,2912,"Turn back, I command you. Bye! (GRUNTS)",    a
730160,2116,"Oh, yeah? You and what army?",    a
734282,1638,(GRUNTING),    m
735920,989,"Oh, that army.",    n
737040,1513,Hasta luego. - Feliz Navidad.,    j
738720,2389,But you gotta let me in. Im on the list!,    n
741240,2912,He must not be disturbed or we wont get presents.,    a
744280,3037,You have been warned. Unleash heck!,    a
751762,1433,(GASPS),    m
753320,1592,"Bring it on, you little fleabags!",    a
754920,1513,Youre no match for the power of...,    n
756682,955,(ICE CRACKING),    m
757640,1069,Flight.,    n
759880,2150,"Everybody, grab a leg and pull!",    n
762075,989,(YELLS),    m
764402,1513,Ow! Huh?,    s
775402,1956,(GRUNTS) Huh? Uh...,    s
780120,1115,Run!,    s
782122,2309,(ALL SCREAMING),    f
785562,989,(SCREAMING),    m
788520,3310,(SINGING) You better watch out You better not cry,    m
792080,2719,Better not pout Im telling you why,    m
794960,3959,I am coming to town,    m
799080,1069,Yes!,    j
800280,3231,"Oh, Im making a list And checking it twice",    m
803511,2389,(WHISTLING),    m
807642,1558,(RUMBLING),    m
811040,1115,"Ah, nutmeg!",    n
812280,1592,"Ho ho, no!",    s
816242,1319,(GRUNTS),    m
820922,1479,(ALL GROANING),    m
822962,955,(SID SCREAMS),    m
824042,1228,Oh.,    n
825960,955,Sid?,    s
827080,1592,"Sid, wheres Peaches?",    s
828840,1752,- Peaches! - Peaches!,    f
830720,1228,SID: Where are you?,    n
832040,1035,Over here!,    n
833480,2036,"Wait, wait. The reindeer fly up here?",    s
835600,1319,"This one does, cuz.",    n
836953,1194,(COUGHS),    m
838400,1672,- Peaches! - Daddy!,    j
840200,3072,"Oh, baby, we were so worried about you. (KISSES)",    j
844000,1718,"Oh, you...",    j
845800,2070,You are so grounded!,    a
848200,1149,"Sorry, Daddy.",    c
849480,1035,Im talking to Sid.,    a
850640,955,"Sorry, Daddy.",    n
851720,1797,SANTA: Frolicking fruitcake!,    a
854480,1877,(GASPS) Its Santa!,    j
856960,2036,"Just cause theres a fat guy, doesnt make him Santa.",    n
859080,3959,"Im not fat! Its this suit, its very poofy.",    n
863200,1558,"Manny, it is Santa!",    j
864840,2230,And hes just as old and decrepit as I imagined.,    n
867040,1069,"And, oh, so jolly.",    n
868632,1353,"Oh, look at this mess.",    c
869920,2468,Two hours to Christmas and everythings ruined!,    c
872520,3231,"My toys, my sleigh! All my hard work.",    a
875880,3037,"Um, would this be a good time to talk about getting off the Naughty List?",    n
879040,1319,"Sid, theres no such thing.",    n
880480,2355,"There is now, Manfred. Thanks for the idea.",    n
885280,1353,"Wait, wait! How do you know my",    s
888440,1228,name?,    s
890200,1115,Santa?,    s
891400,1479,"Hey, what did we do?",    n
892913,1274,Ahem.,    n
895240,1797,"Oh, right. Destroyed Christmas.",    n
897440,1752,"Peaches, you were... I mean, I mean, I was...",    s
899320,2309,Thats Santa! Standing right there.,    j
901760,1274,Hes real!,    j
903034,989,Duh!,    n
904240,2958,Theres gonna be a lot of disappointed kids tomorrow morning.,    c
908162,1228,Ow!,    a
914200,2116,Theres gotta be a way to fix this.,    n
916400,2912,"Dad, its impossible! Theres only eight of us.",    n
919358,2912,(GRUNTS) And 800 of them!,    j
922480,2116,"Wait, us? You mean, as in, us?",    n
924760,2753,"You never thought to give the old fat boy a hand, huh?",    n
927640,1069,"Come on, Peach.",    n
928840,2070,You taught me to believe. What do you say?,    n
932160,2560,Hit it! Ow! Not me!,    a
936960,1752,(SINGING) Deck the halls with moss and rock weed,    m
938922,955,BOTH: Fa-la-la-la-la,    m
939680,955,BOTH: Whats a hall?,    n
940760,955,Tis the season...,    m
941840,955,Whats a season?,    n
942920,955,Fa-la-la-la-la,    m
944000,955,Just play along.,    n
945120,1479,"I can fix this, Mr. Santa",    m
946920,1911,We can fa-la-la-la-la-along,    m
948960,1911,"Give a sloth a chance Now, cant you?",    m
950960,2468,"Too many ""la s""are in this song",    n
955480,2195,I have no idea why I just did that.,    n
957800,3117,Thats a toy! And thats a toy!,    j
961600,2560,And this? This is no good for anything.,    n
965000,1718,Sid has got the proper spirit,    m
966800,989,Fa-la-la-la-la,    m
967880,955,"Hey, not too bad.",    n
969000,1672,- Beautiful! - Dont let Sid near it.,    a
970800,955,Fa-la-la-la-la,    m
971880,1069,"Come on now, Dad.",    n
973120,1752,We can Do It - lf We hurry,    m
974880,955, Lend a claw - Lend a paw,    m
975960,955,Everyone,    m
977080,1797,Even if youre small and furry,    m
979080,1991,All together we can get it done,    m
981600,2309,A ball of twine? Whos gonna want that?,    s
983909,2639,Whoo! (CHUCKLES) All right!,    j
987080,1035,What do we do with this?,    n
988280,1638,"Oh, why dont we put it here.",    n
990000,955,- (KISSES) - Hey!,    a
991160,1513,Something about that mistletoe...,    n
992800,1797,This shall go down in the annals,    m
994800,955,Fa-la-la-la-la,    m
995880,955,And were not through,    j
997000,1752,Peace and goodwill towards all mammals,    m
998920,1911,"- Oh, you shouldnt have. - Just for you.",    j
1004840,1911,Things were looking grim and tragic,    m
1006920,1877,But we got busy and pulled it off,    m
1008880,1911,Now we found some Christmas magic,    n
1010920,2275,All because of each and every sloth,    n
1014920,1911,"""All because of each and every sloth""?",    s
1017000,1433,All because of each,    m
1018560,4835,And everyone,    m
1024320,2275,I cant believe it. These presents!,    s
1026760,2992,The decorations! This sleigh!,    j
1029920,1228,Aint she fly?,    n
1031360,5472,"I bet the mini sloths could help you make presents every year! Right, guys?",    j
1036960,1479,"Well, were gonna need hats.",    n
1038520,1228,Cute hats.,    n
1039880,3515,"In fact, it looks like you got enough toys for every child on Earth.",    j
1043360,2116,Every child? Around the world?,    s
1045800,2230,"I wish I could, but I dont see how.",    n
1048320,3390,"(LAUGHS) Santa, Im giving you the biggest Christmas gift of all.",    n
1051640,2389,Me! Youre flying Air Prancer tonight.,    j
1054160,2639,"Oh, thats the spirit, Prancy boy!",    j
1058160,1718,Time to put this deer in high gear.,    n
1060628,1319,"Vroom, vroom!",    j
1061682,1956,(GRUNTS) Um...,    n
1063640,955,"Up, up and away!",    n
1064720,989,(GRUNTS) Come on!,    j
1065840,1877,"Saving Christmas, here we go!",    j
1068480,1194,Anytime youre ready.,    n
1070200,1274,I cant believe it!,    c
1071600,1433,I failed.,    c
1073882,1991,(SIGHS) Huh?,    c
1075880,2514,This family doesnt give up that easy.,    j
1078600,1149,"All right, Dad!",    j
1079800,2230,"Come on, Prancer. We have to keep trying.",    j
1082160,1752,Youre the only flying reindeer weve got.,    j
1084040,1718,Unless you know 10 others.,    n
1085800,2150,Youre right. I cant do this alone.,    n
1089760,1797,"Wait, where you going?",    a
1092320,955,Perfect.,    n
1093480,1911,"Wow! Heck of a day, eh, Santa?",    n
1095560,2468,Come on! Ho ho ho.,    n
1098028,2434,"Oh. Still on the Naughty List, huh?",    n
1100628,955,(GRUNTS),    m
1103202,955,(GRUNTS),    m
1105960,2560,"SID: Okay, so we traveled about 30 feet so far.",    n
1108640,2355,"If we keep up this pace, we should make it around the world in what?",    n
1111080,1877,"Lets say just under 8,000 years?",    n
1112991,1035,(ALL GROANING),    m
1114280,1194,"Bah, humbug!",    c
1115560,1638,"Hey, guys! Mannys right!",    j
1117320,2275,Nothings impossible if you pull together.,    j
1119720,1752,Meet my family.,    j
1123040,2468,"Dasher, Dancer, Vixen, Comet, Cupid, Donner...",    n
1125759,955,Whoa!,    j
1126480,1228,PRANCER: And Blitzen.,    n
1128840,1149,(SNIGGERS) Blitzen?,    s
1130120,1479,And I thought Prancer was bad!,    s
1131633,955,(LAUGHS),    m
1133562,1592,(CRASH AND EDDIE SCREAMING),    m
1135880,2036, Nice name. - It suits you.,    n
1140520,1115,"Thanks, Prancer.",    n
1141600,3231,"I thought I was such a hotshot, but sometimes you gotta have a little help.",    n
1145040,1319,Thats what this herd has taught me...,    n
1146520,1353,Stay.,    n
1147919,955,(KISSES) - (GROWLS),    m
1149202,955,(SID SCREAMS),    m
1150200,1194,...among other things.,    n
1151480,1319,"Now, lets do this.",    n
1160080,1274,Ha-ha! Yeah!,    j
1167240,1991,"Hey, Manfred, nice job!",    j
1177400,1877,I got Christmas!,    j
1179800,1956,"See what happens when you believe, Dad?",    n
1181760,2275,"I gotta say, Im kinda digging the holiday magic.",    n
1184320,1831,"(CHUCKLES) Merry Christmas, you two.",    n
1186200,1115,SANTA: Ho ho ho!,    j
1187280,1479,- All right! Whoo-hoo! - Yeah!,    j
1188880,2833,Merry Christmas!,    j
1195842,989,(GASPS),    m
1206522,1149,(WHIMPERS),    m
1213242,1479,(SCREAMS),    m
1222522,1399,(SCREAMING),    m
1224362,1149,(CRYING),    m
1233402,1797,(DECK THE HALLS PLAYING),    m
1235202,9555,THE END Subtitles by: English - US - SDH,    m
